Item ID,Title,Creator,Date,Format,Section,Description,Source,Digital file name,Rights,Subject Terms

LPC-001,Lesbian Line Vol 3. Issue 1,"Carolyn Weathers, Jenny Wren",1990,Zine,DIY Publishing,"Front cover of Lesbian Line, a lesbian feminist zine published in Southern California. The publication features community writing, artwork, and cultural commentary.",Mazer Lesbian Archives.,lesbian_line_spring_1990.jpg,,"Lesbian periodicals, lesbian zines, feminist publishing, DIY publishing, Southern California, lesbian communities, queer print culture"

LPC-002,Scream Box Issue 1,Scream Box collective,1990,Zine,DIY Publishing,"Front cover of Issue 1 of Scream Box, a lesbian feminist zine published in the early 1990s. The publication features artwork, writing, and community commentary reflecting lesbian feminist and underground publishing cultures.","Joan Flasch Artists' Book Collection at School of the Art Institute of Chicago Library",scream_box_issue_1_1990.png,,"Lesbian zines, feminist publishing, DIY publishing, underground publishing, lesbian communities, feminist art, lesbian print culture"

LPC-003,Scream Box Issue 2,Scream Box collective,1991,Zine,DIY Publishing,"Front cover of Issue 2 of Scream Box, a lesbian feminist zine published in the early 1990s. The publication features artwork, writing, and community commentary reflecting lesbian feminist and underground publishing cultures.",Gerber/Hart Library and Archives.,scream_box_issue_2_1991.jpg,,"Lesbian zines, feminist publishing, DIY publishing, underground publishing, lesbian communities, feminist art, lesbian print culture"

LPC-004,The Lesbian News, Number 25,The Lesbian News staff,August 1977,Newspaper,Community News,"Front cover of an issue of The Lesbian News, a Southern California lesbian newspaper featuring community announcements, cultural coverage, political commentary, and information about local lesbian events and organizations.",Houston LGBT History,lesbian_news_number_25_1977.png,,"Lesbian newspapers, lesbian periodicals, community news, lesbian activism, Southern California, lesbian communities, feminist publishing"

LPC-005,Back Cover of Dynamite Damsels,Roberta Gregory,1976,Comic,DIY Publishing,"Back cover illustration from Dynamite Damsels, a lesbian feminist underground comic created by Roberta Gregory.",Queer Zine Archive Project,dynamite_damsels_back_cover_1976.jpg,,"Lesbian comics, feminist comics, underground comics, lesbian art, DIY publishing, feminist publishing, queer zines"

LPC-006,Lesbian Book Discussion Group,Sisterhood Bookstore,"June 1, 1996",Flyer,Community News,"Promotional flyer advertising a lesbian book discussion group hosted by Sisterhood Bookstore, a lesbian feminist bookstore in Los Angeles.","Sisterhood Bookstore Digital Exhibit, June L. Mazer Lesbian Archives.",lesbian_book_discussion_flyer_1996.jpg,,"Lesbian bookstores, Sisterhood Bookstore, book clubs, lesbian literature, community spaces, feminist publishing, Los Angeles"

LPC-007,Advertisement for the Lesbian Writers Series at A Different Light Bookstore,A Different Light Bookstore,"October 1, 1987",Advertisement,Community News,"Advertisement for the Lesbian Writers Series hosted by A Different Light Bookstore, promoting literary programming for lesbian and feminist writers and readers in Los Angeles.",ONE Archives LGBTQ Poster collection,lesbian_writers_series_sisterhood_1980.jpg,,"Lesbian literature, lesbian writers, bookstores, A Different Light Bookstore, literary events, feminist publishing, Los Angeles"

LPC-008,Bulletin board post from a lesbian couple,Unknown,"December 26, 1998","Bulletin Board Post",Community News,"Community bulletin board post displayed at Sisterhood Bookstore. The handwritten notice reflects the role of lesbian bookstores as physical gathering spaces for social connection, communication, and community-building.","Sisterhood Bookstore Digital Exhibit, June L. Mazer Lesbian Archives.",bulletin_board_lesbian_couple_sisterhood_1998.jpg,,"Lesbian community spaces, Sisterhood Bookstore, bulletin boards, community communication, lesbian social networks, ephemera"

LPC-009,Over 40 Single and Looking Workshop,Sisterhood Bookstore,"August, 1999",Flyer,Community News,"Flyer advertising an 'Over 40 Single and Looking' workshop held at Sisterhood Bookstore for lesbian community members.","Sisterhood Bookstore Digital Exhibit, June L. Mazer Lesbian Archives.",over_40_single_workshop_sisterhood_1999.jpg,,"Lesbian community spaces, Sisterhood Bookstore, social events, community workshops, lesbian social networks, ephemera"

LPC-010,Lesbian Visibility Week event calendar,"City of West Hollywood Lesbian & Gay Advisory Council","July, 1990","Event Calendar",Community News,"Event calendar promoting Lesbian Visibility Week activities organized by the City of West Hollywood's Lesbian & Gay Advisory Council in July 1990.",ONE Archives LGBTQ Poster collection,lesbian_visibility_week_1990.jpg,,"Lesbian Visibility Week, community events, lesbian activism, West Hollywood, lesbian organizations, event calendars, community organizing"
